species,order,LogBrain,LogBody,BrainResidual,BehaviorCategories,MigratoryDistance,SnowWeeks,EVI.BreedingSite(Winter),EVI.BreedingSite(Summer),EVI.NonBreedingSite(Winter),CV(EVI)Intra-year,CV(EVI)Among-years,PPC1,PPC2,FruitConsumer,InsectConsumer,ForestDweller,DietBreadth,Incubation,Fledging,DevelopmentalMode,SocialMatingSystem,ColonialBreeding,SocialForaging
Abroscopus_albogularis,PASSERIFORMES,-1.079,1.609,0.143,Resident.MidLat,0,0.042,1.531,1.634,1.531,0.03,0.011,1.767,-0.504,0,1,1,0,NA,NA,altricial,Monogamous,Solitary,Aggregation
Acanthagenys_rufogularis,PASSERIFORMES,0.144,3.915,0.164,Resident.MidLat,0,0,1.35,1.356,1.35,0.007,0.009,-3.067,-0.509,1,1,1,0.17,14.5,16.5,altricial,Facultative,Solitary,Aggregation
Acanthiza_chrysorrhoa,PASSERIFORMES,-0.777,2.303,0.09,Resident.MidLat,0,0.008,1.376,1.372,1.376,0.008,0.01,-2.463,-0.088,0,1,1,0.152,16.4,18.5,altricial,Polygamous,Solitary,Aggregation
Acanthiza_ewingii,PASSERIFORMES,-0.462,1.386,0.874,Resident.HighLat,0,0.418,1.547,1.522,1.547,0.012,0.015,1.539,2.119,0,1,1,0.173,NA,NA,altricial,Monogamous,Solitary,Aggregation
Acanthiza_inornata,PASSERIFORMES,-0.821,2.14,0.128,Resident.MidLat,0,0.001,1.531,1.412,1.531,0.024,0.012,0.904,0.2,0,1,1,0.131,NA,NA,altricial,NA,NA,NA
Acanthiza_lineata,PASSERIFORMES,-0.664,1.906,0.405,Resident.MidLat,0,0.008,1.508,1.465,1.508,0.016,0.015,1.129,2.944,0,1,1,0.096,16.3,18.5,altricial,Monogamous,Solitary,Aggregation
Acanthiza_nana,PASSERIFORMES,-0.994,1.981,0.036,Resident.MidLat,0,0.004,1.435,1.429,1.435,0.012,0.013,-0.565,1.679,0,1,1,0.153,NA,NA,altricial,NA,NA,NA
Acanthiza_pusilla,PASSERIFORMES,-0.817,1.89,0.26,Resident.MidLat,0,0.032,1.507,1.475,1.507,0.016,0.015,1.131,2.846,0,1,1,0.106,18.1,15.7,altricial,Monogamous,Solitary,Aggregation
Acanthiza_reguloides,PASSERIFORMES,-0.904,2.015,0.109,Resident.MidLat,0,0.004,1.448,1.444,1.448,0.013,0.013,-0.288,1.795,0,1,1,0.253,13.2,15.2,altricial,Monogamous,Solitary,Aggregation
Acanthiza_uropygialis,PASSERIFORMES,-0.994,1.872,0.092,Resident.MidLat,0,0.001,1.35,1.349,1.35,0.007,0.009,-3.027,-0.442,0,1,0,0.152,NA,NA,altricial,Monogamous,Solitary,Bonded
Acanthorhynchus_tenuirostris,PASSERIFORMES,-0.4,2.11,0.564,Resident.MidLat,0,0.048,1.543,1.508,1.543,0.015,0.015,0.981,2.556,0,1,1,0.148,14.4,13.7,altricial,Monogamous,Solitary,Bonded
Accipiter_cirrocephalus,ACCIPITRIFORMES,0.854,5.135,0.244,Resident.MidLat,0,0.007,1.435,1.449,1.435,0.011,0.01,-1.765,0.247,0,1,1,0.001,36,28.1,semialtricial,Monogamous,Solitary,Solitary
Accipiter_cooperii,ACCIPITRIFORMES,1.474,5.778,0.536,Migrant.Short,2548.048,NA,1.212,1.412,1.403,0.056,0.013,NA,NA,0,0,1,0,35,29.75,semialtricial,Monogamous,Solitary,Solitary
Accipiter_fasciatus,ACCIPITRIFORMES,1.537,5.998,0.49,Resident.MidLat,0,0.004,1.385,1.403,1.385,0.008,0.009,-2.714,-0.453,0,1,1,0.002,30.5,30.25,semialtricial,Monogamous,Solitary,Solitary
Accipiter_gentilis,ACCIPITRIFORMES,2.065,6.759,0.639,Resident.HighLat,0,14.324,1.138,1.303,1.138,0.07,0.019,20.529,-6.441,0,0,1,0,34.75,36.4,semialtricial,Monogamous,Solitary,Pair
Accipiter_haplochrous,ACCIPITRIFORMES,1.374,5.321,0.672,Resident.MidLat,0,0,1.583,1.615,1.583,0.007,0.01,-2.37,0.394,0,1,1,0.002,NA,NA,semialtricial,NA,NA,NA
Accipiter_novaehollandiae,ACCIPITRIFORMES,1.567,6.325,0.36,Resident.MidLat,0,0.014,1.532,1.544,1.532,0.013,0.013,-0.306,1.598,0,1,1,0.002,32.5,37.5,semialtricial,Monogamous,Solitary,Solitary
Accipiter_striatus,ACCIPITRIFORMES,0.792,4.771,0.373,Migrant.Short,2959.181,NA,1.088,1.296,1.43,0.084,0.015,NA,NA,0,0,1,0.001,32,25.5,semialtricial,Monogamous,Solitary,Solitary
Acridotheres_tristis,PASSERIFORMES,0.906,4.687,0.528,Resident.MidLat,0,0.685,1.434,1.53,1.434,0.023,0.01,1.701,-2.478,0,1,0,0.093,15.5,23.8,altricial,Monogamous,Facultative,Aggregation
Acrocephalus_arundinaceus,PASSERIFORMES,-0.122,3.084,0.333,Migrant.Long,5814.268,NA,1.283,1.374,1.545,0.069,0.013,NA,NA,0,1,0,0.023,14,13,altricial,Facultative,Solitary,NA
Acrocephalus_schoenobaenus,PASSERIFORMES,-0.829,2.378,-0.002,Migrant.Long,6502.247,NA,1.205,1.345,1.492,0.076,0.015,NA,NA,0,1,0,0.08,14,13.5,altricial,Monogamous,Solitary,NA
Actitis_hypoleucos,CHARADRIIFORMES,-0.139,3.958,-0.142,Migrant.Long,6069.374,NA,1.152,1.282,1.616,0.095,0.014,NA,NA,0,1,0,0.021,21.5,8.8,precocial,Monogamous,Solitary,Solitary
Actitis_macularius,CHARADRIIFORMES,-0.387,3.876,-0.346,Migrant.Long,6849.823,NA,1.163,1.327,1.562,0.103,0.015,NA,NA,0,1,0,0.001,21,9.3,precocial,Polygamous,Solitary,Solitary
Aechmophorus_occidentalis,PODICIPEDIFORMES,1.308,7.046,-0.263,Migrant.Short,1523.819,NA,1.225,1.35,1.445,0.061,0.016,NA,NA,0,1,0,0.001,23,0.1,precocial,Monogamous,Colonial,Aggregation
Aegithina_tiphia,PASSERIFORMES,-0.421,2.511,0.336,Resident.LowLat,0,0.003,1.526,1.618,1.526,0.021,0.011,0.226,0.101,0,1,0,0,14,NA,altricial,Monogamous,Solitary,Aggregation
Aegolius_acadicus,STRIGIFORMES,1.211,4.292,1.036,Migrant.Short,928.901,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0.002,27,29.25,semialtricial,Facultative,Solitary,Solitary
Aegolius_funereus,STRIGIFORMES,1.39,4.513,1.103,Resident.HighLat,0,16.241,1.097,1.263,1.097,0.081,0.02,22.874,-7.394,0,1,1,0.002,28.5,30.85,semialtricial,Facultative,Solitary,Solitary
Aegotheles_cristatus,APODIFORMES,0.359,3.712,0.483,Resident.MidLat,0,0.005,1.364,1.383,1.364,0.008,0.009,-2.902,-0.634,0,1,1,0,27,26,semialtricial,Monogamous,NA,NA
Aeronautes_saxatalis,APODIFORMES,-0.375,3.611,-0.196,Migrant.Short,1735.716,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,24,43,altricial,Monogamous,Colonial,Aggregation
Aethopyga_nipalensis,PASSERIFORMES,-1.101,1.792,0.026,Resident.MidLat,0,0.419,1.51,1.655,1.51,0.027,0.013,3.119,-0.277,0,1,1,0.148,NA,NA,altricial,Monogamous,Solitary,Aggregation
Agapornis_fischeri,PSITTACIFORMES,0.718,3.475,0.969,Resident.LowLat,0,0,1.416,1.526,1.416,0.02,0.013,0.657,1.12,1,0,0,0.17,22.85,38.2,altricial,Monogamous,NA,Bonded
Agapornis_lilianae,PSITTACIFORMES,0.438,3.611,0.617,Resident.LowLat,0,0,1.402,1.598,1.402,0.029,0.007,-0.167,-2.85,1,0,1,0.135,22.1,44.1,altricial,Monogamous,NA,NA
Agapornis_personatus,PSITTACIFORMES,0.668,3.608,0.848,Resident.LowLat,0,0,1.375,1.586,1.375,0.03,0.01,1.17,-1.002,0,0,0,0,23,44.15,altricial,Monogamous,NA,NA
Agapornis_roseicollis,PSITTACIFORMES,0.642,3.823,0.709,Resident.MidLat,0,0,1.327,1.416,1.327,0.013,0.008,-2.507,-1.32,0,0,0,0.098,23,42.9,altricial,Monogamous,NA,NA
Agelaioides_badius,PASSERIFORMES,0.438,3.681,0.579,Resident.MidLat,0,0.004,1.476,1.559,1.476,0.02,0.013,0.696,1.225,0,1,0,0,NA,NA,altricial,Monogamous,Colonial,Bonded
Agelaius_phoeniceus,PASSERIFORMES,0.525,4.182,0.407,Migrant.Short,2899.579,NA,1.123,1.327,1.341,0.067,0.014,NA,NA,0,1,0,0.173,12,15,altricial,Polygamous,Solitary,Aggregation
Ailuroedus_crassirostris,PASSERIFORMES,1.432,5.503,0.635,Resident.MidLat,0,0.001,1.51,1.557,1.51,0.01,0.011,-1.661,0.785,1,0,1,0.045,22.5,20,altricial,Monogamous,Solitary,Aggregation
Ailuroedus_melanotis,PASSERIFORMES,1.482,5.106,0.886,Resident.LowLat,0,0,1.628,1.648,1.628,0.011,0.013,-0.743,1.679,1,1,1,0.075,22.5,19.5,altricial,Monogamous,Solitary,Aggregation
Aix_galericulata,ANSERIFORMES,1.399,6.109,0.298,Migrant.Short,2746.463,NA,1.165,1.373,1.452,0.095,0.014,NA,NA,0,1,1,0.145,29,21.75,precocial,Monogamous,Solitary,NA
Aix_sponsa,ANSERIFORMES,1.281,6.317,0.078,Migrant.Short,1944.193,NA,1.189,1.407,1.234,0.085,0.016,NA,NA,1,0,0,0.135,30,32,precocial,Monogamous,Solitary,Aggregation
Alcedo_atthis,CORACIIFORMES,-0.325,3.264,0.036,Migrant.Short,3414.335,NA,1.208,1.348,1.495,0.069,0.013,NA,NA,0,1,0,0.025,20,24.5,altricial,Monogamous,Solitary,Pair
Alcedo_azurea,CORACIIFORMES,-0.082,3.542,0.133,Resident.MidLat,0,0.011,1.491,1.514,1.491,0.012,0.012,-0.894,0.986,0,1,1,0.002,21,28,altricial,Monogamous,Solitary,Solitary
Alcippe_nipalensis,PASSERIFORMES,-0.111,2.613,0.593,Resident.MidLat,0,0.079,1.534,1.686,1.534,0.027,0.012,1.969,0.218,1,1,1,0.144,12,NA,altricial,Monogamous,NA,NA
Alectoris_chukar,GALLIFORMES,0.906,6.196,-0.237,Resident.MidLat,0,5.495,1.259,1.29,1.259,0.033,0.01,8.052,-7.024,0,1,0,0.148,23.75,0.1,precocial,Monogamous,Solitary,Bonded
Alectura_lathami,GALLIFORMES,1.732,7.526,-0.091,Resident.MidLat,0,0,1.457,1.534,1.457,0.012,0.01,-1.603,0.096,1,1,1,0.149,49,0.01,precocial,Polygamous,Solitary,NA
Alisterus_scapularis,PSITTACIFORMES,1.48,5.078,0.899,Resident.MidLat,0,0.009,1.491,1.504,1.491,0.012,0.014,-0.061,2.314,1,1,1,0.153,20,35,altricial,Monogamous,Solitary,NA
Amalocichla_incerta,PASSERIFORMES,0.095,3.277,0.449,Resident.LowLat,0,0,1.656,1.645,1.656,0.011,0.014,-0.107,2.666,0,1,1,0,NA,NA,altricial,NA,NA,NA
Amandava_amandava,PASSERIFORMES,-1.008,2.095,-0.036,Resident.MidLat,0,0.009,1.586,1.477,1.586,0.024,0.01,0.188,-0.872,0,0,0,0.057,12.5,19,altricial,Monogamous,Solitary,Aggregation
Amaurolimnas_concolor,GRUIFORMES,0.545,4.554,0.236,Resident.LowLat,0,0,1.72,1.674,1.72,0.014,0.013,-0.124,1.876,1,1,1,0.169,NA,NA,precocial,NA,NA,NA
Amaurornis_olivacea,GRUIFORMES,0.788,5.011,0.239,Resident.LowLat,0,0,1.654,1.702,1.654,0.013,0.013,-0.243,1.823,NA,NA,NA,NA,18,NA,precocial,NA,NA,NA
Amazilia_tzacatl,APODIFORMES,-1.501,1.663,-0.307,Resident.LowLat,0,0,1.65,1.712,1.65,0.016,0.013,0.184,1.564,0,1,1,0.148,15.8,21.5,altricial,Polygamous,Facultative,Solitary
Amazona_aestiva,PSITTACIFORMES,2.152,5.716,1.245,Resident.LowLat,0,0,1.515,1.609,1.515,0.022,0.013,0.982,0.944,1,0,1,0.135,29.25,63,altricial,Monogamous,NA,NA
Amazona_albifrons,PSITTACIFORMES,1.658,5.034,1.097,Resident.LowLat,0,0.001,1.548,1.699,1.548,0.024,0.013,1.13,0.702,1,0,1,0.135,24.5,NA,altricial,Monogamous,NA,NA
Amazona_autumnalis,PSITTACIFORMES,2.101,5.882,1.11,Resident.LowLat,0,0,1.652,1.712,1.652,0.016,0.013,0.199,1.586,1,0,1,0.135,26,56,altricial,Monogamous,NA,NA
Amazona_farinosa,PSITTACIFORMES,2.332,6.477,1.05,Resident.LowLat,0,0,1.708,1.676,1.708,0.013,0.013,-0.299,1.799,1,0,1,0.163,26.5,62.5,altricial,Monogamous,NA,Pair
Amazona_leucocephala,PSITTACIFORMES,1.619,5.607,0.771,Resident.MidLat,0,0.001,1.527,1.635,1.527,0.017,0.013,0.252,1.258,1,0,1,0.163,27,56,altricial,Monogamous,NA,NA
Amazona_vinacea,PSITTACIFORMES,2.01,5.754,1.083,Resident.MidLat,0,0,1.586,1.653,1.586,0.02,0.01,-0.438,-0.614,1,0,1,0.035,26,67.5,altricial,Monogamous,NA,NA
Amazona_vittata,PSITTACIFORMES,1.766,5.434,1.005,Resident.LowLat,0,0,1.745,1.751,1.745,0.012,0.012,-0.849,1.279,1,0,1,0.17,NA,NA,altricial,Monogamous,NA,NA
Amblycercus_holosericeus,PASSERIFORMES,0.795,4.203,0.666,Resident.LowLat,0,0,1.638,1.702,1.638,0.017,0.013,0.411,1.527,0,1,1,0.062,NA,NA,altricial,Monogamous,Solitary,Pair
Amblyornis_macgregoriae,PASSERIFORMES,1.274,4.816,0.83,Resident.LowLat,0,0,1.637,1.627,1.637,0.011,0.014,-0.244,2.549,1,1,1,0.07,NA,NA,altricial,Polygamous,Solitary,NA
Amblyramphus_holosericeus,PASSERIFORMES,0.844,4.234,0.699,Resident.MidLat,0,0.005,1.564,1.593,1.564,0.015,0.013,-0.217,1.26,0,1,0,0.001,NA,NA,altricial,Monogamous,Solitary,Aggregation
Amphispiza_bilineata,PASSERIFORMES,-0.38,2.624,0.318,Migrant.Short,1341.243,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0.173,12,9.5,altricial,Monogamous,Solitary,Pair
Anas_acuta,ANSERIFORMES,1.565,6.738,0.15,Migrant.Short,4364.504,NA,1.08,1.241,1.4,0.108,0.015,NA,NA,0,0,0,0.09,22.75,21.05,precocial,Facultative,Facultative,Aggregation
Anas_americana,ANSERIFORMES,1.374,6.599,0.029,Migrant.Short,3330.937,NA,1.087,1.271,1.42,0.098,0.017,NA,NA,0,0,0,0.015,24,22.8,precocial,Monogamous,Facultative,Aggregation
Anas_castanea,ANSERIFORMES,1.288,6.399,0.045,Resident.MidLat,0,0.012,1.408,1.393,1.408,0.01,0.011,-1.456,0.755,0,1,0,0,26,0.1,precocial,Monogamous,Solitary,Aggregation
Anas_clypeata,ANSERIFORMES,1.194,6.297,0,Migrant.Short,3552.53,NA,1.125,1.271,1.404,0.088,0.014,NA,NA,0,1,0,0.142,23,22.3,precocial,Monogamous,Facultative,Aggregation
Anas_crecca,ANSERIFORMES,0.966,5.771,0.031,Migrant.Short,3521.49,NA,1.095,1.267,1.384,0.099,0.015,NA,NA,0,1,0,0.138,22,17.05,precocial,Monogamous,Facultative,Aggregation
Anas_discors,ANSERIFORMES,1.044,5.904,0.043,Migrant.Short,3822.635,NA,1.2,1.355,1.486,0.072,0.014,NA,NA,0,0,1,0.144,23.5,19.8,precocial,Monogamous,Facultative,NA
Anas_eatoni,ANSERIFORMES,1.224,6.12,0.118,Resident.HighLat,0,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0.173,NA,NA,precocial,Monogamous,NA,NA
Anas_flavirostris,ANSERIFORMES,1.27,6.063,0.193,Resident.MidLat,0,0.864,1.388,1.421,1.388,0.018,0.01,1.283,-2.255,1,1,0,0.153,24,0.1,precocial,Monogamous,Solitary,NA
Anas_gracilis,ANSERIFORMES,1.259,6.11,0.158,Resident.MidLat,0,0.085,1.414,1.432,1.414,0.009,0.01,-1.934,-0.205,0,1,0,0.148,28,0.1,precocial,Monogamous,Facultative,Aggregation
Anas_laysanensis,ANSERIFORMES,1.241,6.113,0.138,Resident.MidLat,0,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0.136,28,0.1,precocial,Monogamous,Facultative,NA
Anas_platalea,ANSERIFORMES,1.253,6.301,0.057,Resident.MidLat,0,0.479,1.407,1.458,1.407,0.02,0.012,1.517,-0.81,0,1,0,0.148,25,0.1,precocial,Monogamous,Facultative,NA
Anas_platyrhynchos,ANSERIFORMES,1.694,7.013,0.14,Migrant.Short,3361.913,NA,1.104,1.267,1.399,0.085,0.015,NA,NA,1,1,0,0.142,27.5,55,precocial,Monogamous,Facultative,Aggregation
Anas_rhynchotis,ANSERIFORMES,1.253,6.43,-0.005,Resident.MidLat,0,0.152,1.398,1.396,1.398,0.01,0.011,-1.339,-0.048,0,1,0,0.148,24.25,0.1,precocial,Monogamous,Facultative,Bonded
Anas_smithii,ANSERIFORMES,1.327,6.683,-0.061,Resident.MidLat,0,0.001,1.349,1.42,1.349,0.014,0.008,-2.341,-1.536,0,1,0,0.145,27.5,28.05,precocial,Monogamous,Facultative,Bonded
Anas_strepera,ANSERIFORMES,1.361,6.791,-0.081,Migrant.Short,3699.073,NA,1.211,1.353,1.377,0.056,0.014,NA,NA,0,0,0,0.12,26,25.6,precocial,Monogamous,Facultative,NA
Anas_superciliosa,ANSERIFORMES,1.688,6.95,0.167,Resident.MidLat,0,0.085,1.426,1.446,1.426,0.01,0.01,-1.763,-0.081,0,0,0,0.135,29,0.1,precocial,Monogamous,Solitary,Bonded
Anas_versicolor,ANSERIFORMES,1.288,5.96,0.258,Migrant.Short,661.067,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0.148,25.5,0.1,precocial,Monogamous,NA,NA
Anas_wyvilliana,ANSERIFORMES,1.522,6.244,0.354,Resident.MidLat,0,0.001,1.569,1.533,1.569,0.008,0.014,-0.466,2.892,0,1,0,0.148,28,0.1,precocial,Monogamous,Facultative,Bonded
Andigena_hypoglauca,PICIFORMES,1.649,5.697,0.753,Resident.LowLat,0,0.005,1.567,1.591,1.567,0.013,0.011,-1.448,0.169,1,0,1,0,NA,NA,altricial,NA,NA,Aggregation
Anhinga_melanogaster,SULIFORMES,1.501,7.383,-0.247,Resident.MidLat,0,0.002,1.597,1.524,1.597,0.02,0.011,-0.044,0.195,0,1,0,0.002,28,42.5,altricial,Monogamous,Colonial,NA
Anser_albifrons,ANSERIFORMES,2.208,7.909,0.182,Migrant.Short,4304.676,NA,1.006,1.116,1.408,0.174,0.016,NA,NA,1,0,0,0.135,27.25,20.8,precocial,Monogamous,Facultative,Aggregation
Anser_fabalis,ANSERIFORMES,2.366,7.627,0.49,Migrant.Short,2829.693,NA,1.038,1.18,1.369,0.157,0.017,NA,NA,1,0,0,0.109,28,28.05,precocial,Monogamous,Facultative,NA
Anthochaera_carunculata,PASSERIFORMES,0.805,4.686,0.428,Resident.MidLat,0,0.004,1.426,1.389,1.426,0.012,0.011,-1.333,0.586,1,1,1,0.146,19,17,altricial,Monogamous,Facultative,Aggregation
Anthochaera_chrysoptera,PASSERIFORMES,0.633,4.194,0.509,Resident.MidLat,0,0.049,1.547,1.493,1.547,0.016,0.015,1.089,2.413,1,1,1,0.146,13.5,15,altricial,Monogamous,Facultative,Aggregation
Anthracothorax_dominicus,APODIFORMES,-1.523,1.749,-0.374,Resident.LowLat,0,0,1.581,1.675,1.581,0.014,0.012,-0.481,1.14,0,1,0,0.148,NA,NA,altricial,NA,NA,NA
Anthreptes_malacensis,PASSERIFORMES,-0.54,2.479,0.234,Resident.MidLat,0,0,1.673,1.664,1.673,0.015,0.014,0.121,1.959,0,1,1,0.148,NA,NA,altricial,Monogamous,Solitary,Aggregation
Anthus_novaeseelandiae,PASSERIFORMES,-0.169,3.327,0.158,Resident.MidLat,0,0.116,1.376,1.386,1.376,0.009,0.01,-1.993,-0.412,0,1,1,0.057,14,15,altricial,Monogamous,Solitary,Aggregation
Anthus_trivialis,PASSERIFORMES,-0.507,2.911,0.039,Migrant.Long,6050.161,NA,1.177,1.326,1.465,0.086,0.015,NA,NA,0,1,1,0.04,12.75,12.5,altricial,Monogamous,Solitary,Bonded
Anumbius_annumbi,PASSERIFORMES,0.235,3.701,0.366,Resident.MidLat,0,0.003,1.505,1.562,1.505,0.018,0.012,0.039,0.635,0,1,0,0.057,16.5,21.5,altricial,Monogamous,Solitary,Pair
Aphelocephala_leucopsis,PASSERIFORMES,-0.673,2.557,0.06,Resident.MidLat,0,0.002,1.356,1.348,1.356,0.007,0.009,-2.982,-0.317,0,1,0,0.142,NA,NA,altricial,Monogamous,NA,NA
Aphelocephala_nigricincta,PASSERIFORMES,-0.755,2.542,-0.014,Resident.MidLat,0,0,1.306,1.321,1.306,0.003,0.007,-4.687,-1.613,0,1,0,0.173,NA,NA,altricial,NA,NA,NA
Aphelocoma_coerulescens,PASSERIFORMES,1.044,4.38,0.825,Resident.MidLat,0,0.006,1.522,1.535,1.522,0.013,0.008,-2.196,-1.194,0,1,0,0.15,17.4,18,altricial,Monogamous,Solitary,Solitary
Aphelocoma_ultramarina,PASSERIFORMES,1.298,4.855,0.833,Resident.MidLat,0,0,1.406,1.55,1.406,0.03,0.008,0.319,-2.227,1,1,0,0.204,18,25.5,altricial,Facultative,Colonial,Bonded
Aphrastura_spinicauda,PASSERIFORMES,-0.226,2.439,0.569,Resident.HighLat,0,2.865,1.353,1.419,1.353,0.044,0.02,12.214,0.185,0,1,1,0,NA,NA,altricial,Monogamous,Solitary,Pair
Aprosmictus_erythropterus,PSITTACIFORMES,1.209,4.929,0.704,Resident.MidLat,0,0,1.386,1.447,1.386,0.011,0.009,-2.272,-0.374,1,1,1,0.229,20,35,altricial,Monogamous,NA,NA
Apus_apus,APODIFORMES,-0.304,3.808,-0.229,Migrant.Long,7085.113,NA,1.251,1.334,1.551,0.083,0.013,NA,NA,0,1,0,0,19.6,42.5,altricial,Monogamous,Colonial,Aggregation
Aquila_audax,ACCIPITRIFORMES,2.725,8.117,0.59,Resident.MidLat,0,0.005,1.363,1.382,1.363,0.008,0.009,-2.908,-0.64,0,0,1,0,44.5,73.7,semialtricial,Monogamous,Solitary,Pair
Aquila_chrysaetos,ACCIPITRIFORMES,2.844,8.293,0.62,Migrant.Short,3093.213,NA,1.016,1.184,1.29,0.137,0.018,NA,NA,0,0,0,0,43,74,semialtricial,Monogamous,Solitary,Pair
Arachnothera_longirostra,PASSERIFORMES,-0.66,2.455,0.126,Resident.LowLat,0,0.008,1.614,1.676,1.614,0.019,0.013,0.473,1.183,0,1,1,0.148,NA,NA,altricial,Monogamous,Solitary,NA
Aramides_cajanea,GRUIFORMES,1.384,5.992,0.34,Resident.LowLat,0,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0.169,24,1.5,precocial,Monogamous,NA,NA
Aramides_ypecaha,GRUIFORMES,1.589,6.533,0.279,Resident.MidLat,0,0.001,1.515,1.596,1.515,0.021,0.012,0.392,0.505,NA,NA,NA,NA,24,3.5,precocial,Monogamous,NA,NA
Aramus_guarauna,GRUIFORMES,1.946,7.131,0.329,Resident.LowLat,0,0.001,1.599,1.629,1.599,0.019,0.013,0.373,1.113,0,1,1,0.002,27,NA,precocial,Monogamous,Solitary,NA
Aratinga_finschi,PSITTACIFORMES,1.675,5.464,0.898,Resident.LowLat,0,0,1.673,1.761,1.673,0.016,0.013,0.279,1.775,1,0,1,0.035,23,50,altricial,Monogamous,NA,NA
Aratinga_solstitialis,PSITTACIFORMES,1.504,4.457,1.245,Resident.LowLat,0,0,1.649,1.698,1.649,0.012,0.013,-0.289,2.062,1,0,1,0,27.5,56,altricial,Monogamous,NA,NA
Ardea_herodias,PELECANIFORMES,2.193,7.573,0.347,Migrant.Short,4233.519,NA,1.159,1.345,1.532,0.084,0.015,NA,NA,0,1,0,0.001,28,57.25,semialtricial,Monogamous,Facultative,Solitary
Ardea_pacifica,PELECANIFORMES,1.642,6.755,0.218,Resident.MidLat,0,0.001,1.367,1.387,1.367,0.009,0.009,-2.714,-0.502,0,1,0,0.002,NA,NA,semialtricial,NA,Colonial,NA
Ardeotis_australis,OTIDIFORMES,2.466,8.035,0.373,Resident.MidLat,0,0,1.346,1.375,1.346,0.007,0.008,-3.448,-1.071,1,1,0,0.139,24,NA,precocial,NA,NA,NA
Arenaria_interpres,CHARADRIIFORMES,0.275,4.562,-0.038,Migrant.Long,7516.341,NA,1.006,1.055,1.498,0.223,0.013,NA,NA,0,1,0,0.01,22.15,9.8,precocial,Monogamous,Solitary,Aggregation
Arenaria_melanocephala,CHARADRIIFORMES,0.435,4.803,-0.002,Migrant.Short,2821.042,NA,1.025,1.246,1.224,0.143,0.02,NA,NA,0,1,0,NA,21.25,NA,precocial,Monogamous,Facultative,Bonded
Arremon_aurantiirostris,PASSERIFORMES,0.166,3.476,0.416,Resident.LowLat,0,0.001,1.697,1.73,1.697,0.015,0.013,-0.02,1.71,0,1,1,0.173,14.5,NA,altricial,NA,NA,NA
Arremon_brunneinucha,PASSERIFORMES,0.438,3.801,0.517,Resident.LowLat,0,0.008,1.602,1.646,1.602,0.016,0.012,-0.378,0.826,0,1,1,0.173,14.5,13,altricial,Monogamous,Solitary,Aggregation
Arremonops_conirostris,PASSERIFORMES,0.243,3.619,0.417,Resident.LowLat,0,0,1.618,1.663,1.618,0.015,0.012,-0.246,1.183,1,1,0,0.183,13.5,11.75,altricial,Monogamous,Solitary,NA
Arses_telescophthalmus,PASSERIFORMES,-0.478,2.639,0.212,Resident.MidLat,0,0,1.692,1.689,1.692,0.011,0.013,-0.528,2.096,0,1,1,0,NA,NA,altricial,NA,NA,NA
Artamus_cinereus,PASSERIFORMES,-0.07,3.638,0.095,Resident.MidLat,0,0,1.356,1.378,1.356,0.008,0.009,-3.06,-0.762,0,1,1,0,12.5,18,altricial,Monogamous,Facultative,Pair
Artamus_cyanopterus,PASSERIFORMES,0.014,3.57,0.214,Resident.LowLat,0,0.009,1.395,1.393,1.395,0.01,0.011,-1.768,0.461,1,1,1,0.21,15.1,17.6,altricial,Monogamous,Solitary,Aggregation
Artamus_leucorynchus,PASSERIFORMES,0.072,3.82,0.141,Resident.LowLat,0,0.001,1.477,1.503,1.477,0.01,0.011,-1.594,0.74,0,1,0,0,14,18.5,altricial,Monogamous,Solitary,Aggregation
Artamus_maximus,PASSERIFORMES,0.501,4.19,0.379,Resident.LowLat,0,0,1.666,1.656,1.666,0.011,0.015,0.008,2.882,0,1,0,0,NA,NA,altricial,NA,NA,NA
Artamus_minor,PASSERIFORMES,-0.664,2.708,-0.01,Resident.MidLat,0,0,1.346,1.378,1.346,0.007,0.008,-3.345,-0.92,0,1,0,0.049,16,18,altricial,NA,NA,NA
Artamus_personatus,PASSERIFORMES,0.046,3.597,0.232,Resident.MidLat,0,0.001,1.361,1.378,1.361,0.008,0.009,-2.94,-0.631,0,1,0,0.131,13,15,altricial,Monogamous,Facultative,Pair
Artamus_superciliosus,PASSERIFORMES,-0.003,3.669,0.145,Resident.MidLat,0,0.003,1.358,1.378,1.358,0.008,0.009,-3.015,-0.652,0,1,0,0.131,12.55,13.6,altricial,Monogamous,Facultative,Pair
Asio_flammeus,STRIGIFORMES,1.641,5.719,0.733,Migrant.Short,3112.732,NA,1.076,1.249,1.379,0.101,0.016,NA,NA,0,0,1,0,25.7,20.25,semialtricial,Monogamous,Solitary,Solitary
Asio_otus,STRIGIFORMES,1.67,5.346,0.955,Migrant.Short,2730.219,NA,1.086,1.281,1.378,0.101,0.017,NA,NA,0,0,1,0,27.25,27.5,semialtricial,Facultative,Solitary,Pair
