species,order,LogBrain,LogBody,BrainResidual,BehaviorCategories,MigratoryDistance,SnowWeeks,EVI.BreedingSite(Winter),EVI.BreedingSite(Summer),EVI.NonBreedingSite(Winter),CV(EVI)Intra-year,CV(EVI)Among-years,PPC1,PPC2,FruitConsumer,InsectConsumer,ForestDweller,DietBreadth,Incubation,Fledging,DevelopmentalMode,SocialMatingSystem,ColonialBreeding,SocialForaging
Gerygone_hypoxantha,PASSERIFORMES,-0.879,1.872,0.207,Resident.LowLat,0,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,NA,NA,altricial,NA,NA,NA
Glaucidium_gnoma,STRIGIFORMES,1.281,3.85,1.334,Resident.MidLat,0,13.692,1.148,1.326,1.148,0.062,0.02,19.556,-5.142,0,1,1,0.001,28,28,semialtricial,Monogamous,Solitary,Solitary
Glaucis_hirsutus,APODIFORMES,-1.379,1.974,-0.345,Resident.LowLat,0,0,1.683,1.662,1.683,0.014,0.013,-0.106,1.698,0,0,1,0.049,17.5,22.25,altricial,Polygamous,Solitary,NA
Glossopsitta_concinna,PSITTACIFORMES,1.096,4.08,1.03,Resident.MidLat,0,0.042,1.549,1.479,1.549,0.017,0.015,1.421,2.672,1,0,1,0.11,22.5,48,altricial,Monogamous,Solitary,NA
Glossopsitta_porphyrocephala,PSITTACIFORMES,0.578,3.823,0.646,Resident.MidLat,0,0.002,1.451,1.379,1.451,0.016,0.011,-0.599,0.344,0,0,1,0.043,19,36,altricial,Monogamous,Facultative,NA
Glossopsitta_pusilla,PSITTACIFORMES,0.462,3.587,0.653,Resident.MidLat,0,0.016,1.527,1.507,1.527,0.015,0.015,0.738,2.601,1,0,1,0.083,19,41,altricial,Monogamous,NA,NA
Glyphorynchus_spirurus,PASSERIFORMES,-0.485,2.691,0.177,Resident.LowLat,0,0,1.711,1.681,1.711,0.013,0.013,-0.319,1.811,0,1,1,0.021,NA,17,altricial,Monogamous,NA,NA
Grallaria_quitensis,PASSERIFORMES,0.777,4.376,0.559,Resident.LowLat,0,0.002,1.579,1.575,1.579,0.012,0.011,-1.467,0.341,1,1,1,0.169,NA,NA,altricial,Monogamous,Solitary,NA
Grallina_bruijni,PASSERIFORMES,0,3.512,0.232,Resident.LowLat,0,0,1.675,1.666,1.675,0.011,0.015,0.068,2.952,0,1,1,0.002,NA,NA,altricial,NA,NA,NA
Grallina_cyanoleuca,PASSERIFORMES,0.615,4.699,0.232,Resident.MidLat,0,0.001,1.37,1.39,1.37,0.009,0.009,-2.632,-0.436,0,1,0,0.043,17.5,20,altricial,Monogamous,Solitary,Aggregation
